,Região,UF,Cidade,Sexo,Faixa Etária,Data Finalização,Tempo Resposta,Nome Fantasia,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,Respondida,Situação,Avaliação Reclamação,Nota do Consumidor,Total,ï»¿RegiÃ£o,Faixa EtÃ¡ria,Data FinalizaÃ§Ã£o,Ãrea,SituaÃ§Ã£o,AvaliaÃ§Ã£o ReclamaÃ§Ã£o
4464,NE,MA,Grajaú,M,entre 21 a 30 anos,29/11/2019,10.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança submetendo a ofensa, constrangimento ou ameaça",Domicílio,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4465,SE,SP,São Paulo,F,entre 41 a 50 anos,28/11/2019,1.0,Enel Distribuição São Paulo (Eletropaulo),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança submetendo a ofensa, constrangimento ou ameaça",Não comprei / contratei,S,S,Finalizada avaliada,Resolvida,3.0,1,,,,,,
4466,SE,SP,São Paulo,F,entre 31 a 40 anos,12/11/2019,1.0,Enel Distribuição São Paulo (Eletropaulo),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Domicílio,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4467,NE,MA,Imperatriz,M,entre 41 a 50 anos,22/11/2019,9.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4468,S ,RS,Arroio do Tigre,M,entre 51 a 60 anos,17/11/2019,10.0,RGE - Rio Grande Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Telefone,S,S,Finalizada avaliada,Resolvida,1.0,1,,,,,,
4469,CO,MT,Primavera do Leste,M,entre 31 a 40 anos,11/11/2019,3.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4470,SE,SP,São Paulo,M,entre 31 a 40 anos,11/11/2019,3.0,Enel Distribuição São Paulo (Eletropaulo),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,N,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4471,CO,MT,Rondonópolis,F,entre 21 a 30 anos,20/11/2019,0.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4472,S ,PR,Ivaiporã,M,entre 51 a 60 anos,08/11/2019,10.0,Copel - Companhia Paranaense de Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Falta de acessibilidade ou de atendimento prioritário,Domicílio,N,S,Finalizada avaliada,Resolvida,3.0,1,,,,,,
4473,SE,ES,Cariacica,M,entre 31 a 40 anos,25/11/2019,7.0,EDP Espírito Santo,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Telefone,S,S,Finalizada avaliada,Resolvida,3.0,1,,,,,,
